date,min,max,median,q1,q3,stdev,count
2020-08-06T00:00:00.000Z,0,12.13,0.52,0.3,0.82,0.95,383
2020-08-07T00:00:00.000Z,0,3.75,0.7,0.4,1,0.446,488
2020-08-08T00:00:00.000Z,0.4,5.3,1.23,0.98,1.98,0.913,463
2020-08-09T00:00:00.000Z,1.6,17.89,5.78,3.12,6.87,2.182,510
2020-08-10T00:00:00.000Z,4.57,24.37,9.57,7.05,11.73,3.849,516
2020-08-11T00:00:00.000Z,8.48,41.45,15.55,12,20.7,6.441,494
2020-08-12T00:00:00.000Z,8.05,42.92,19.48,16.17,29.52,8.697,486
2020-08-13T00:00:00.000Z,7.25,24.23,12.07,9.55,17.18,4.253,512
2020-08-14T00:00:00.000Z,5.87,850.78,10.75,9,13.77,57.594,469
2020-08-15T00:00:00.000Z,6.75,48.13,25.88,15.27,33.75,11.293,523
2020-08-16T00:00:00.000Z,4.18,28.23,9.1,7.84,17.98,6.784,521
2020-08-17T00:00:00.000Z,4.45,39.47,14.73,8.4,21.32,7.718,493
2020-08-18T00:00:00.000Z,0,23.6,2.4,1.3,5.3,4.054,523
2020-08-19T00:00:00.000Z,0.6,22.25,3.49,2.22,6.86,4.166,508
2020-08-20T00:00:00.000Z,1.2,6.5,3.12,2.67,3.65,0.778,483
2020-08-21T00:00:00.000Z,0.22,14.18,1.5,1.12,2.2,1.195,496
2020-08-22T00:00:00.000Z,0.2,518.75,1.75,0.88,2.54,29.759,419
2020-08-23T00:00:00.000Z,0.15,5.12,1.6,1.12,1.98,1.084,475
2020-08-24T00:00:00.000Z,0.6,13,2.1,1.5,3.3,1.554,413
2020-08-25T00:00:00.000Z,0,4.15,0.4,0.2,1.4,0.807,432
2020-08-26T00:00:00.000Z,0.65,4.2,2,1.3,2.67,0.804,445
2020-08-27T00:00:00.000Z,0.9,30.3,2.2,1.52,2.9,1.822,503
2020-08-28T00:00:00.000Z,0,15.73,1.23,0.7,2.54,2.559,449
2020-08-29T00:00:00.000Z,0.3,292.62,1.5,0.7,1.98,14.205,461
2020-08-30T00:00:00.000Z,0.22,10.43,1.45,0.77,1.95,0.977,455
2020-08-31T00:00:00.000Z,0.3,21.42,1.1,0.7,1.4,1.466,442
2020-09-01T00:00:00.000Z,0.25,28.05,0.8,0.6,1,1.486,395
2020-09-02T00:00:00.000Z,0.1,7.65,1.2,0.5,1.6,0.732,461
2020-09-03T00:00:00.000Z,0.25,6.72,1.6,1,2.4,0.916,461
2020-09-04T00:00:00.000Z,0.5,4.93,2.85,1.6,3.9,1.218,477
2020-09-05T00:00:00.000Z,0.7,5.25,1.7,1.4,2.62,1.002,459
2020-09-06T00:00:00.000Z,0.17,8.15,1.2,0.43,1.85,0.882,466
2020-09-07T00:00:00.000Z,0.1,5.85,0.8,0.55,1,0.483,438
2020-09-08T00:00:00.000Z,0,2.92,0.3,0.2,0.4,0.285,378
2020-09-09T00:00:00.000Z,0,3.62,1.42,0.76,2.04,0.89,401
2020-09-10T00:00:00.000Z,0.75,6.15,2.04,1.49,2.58,0.705,345
2020-09-11T00:00:00.000Z,0.37,6.57,1.3,1,1.6,0.657,310
2020-09-12T00:00:00.000Z,1.4,5.03,3.4,2.2,3.92,0.944,299
2020-09-13T00:00:00.000Z,0.2,16.05,1.1,0.79,1.4,1.096,364
2020-09-14T00:00:00.000Z,0.7,11.18,2.11,1.75,2.79,1.5,292
2020-09-15T00:00:00.000Z,2.15,12.6,4.8,3.2,7.8,2.594,250
2020-09-16T00:00:00.000Z,5.37,12.7,6.66,6.02,7.06,1.257,36
